date_acquired,date_sold,asset,quantity,proceeds,cost_basis,gain_loss,description,transaction_type,exchange
2022-12-30,2023-12-24,BTC,160.6358,23577.04,15264.77,8312.27,Sold 160.6358 BTC,Sell,MetaMask
2023-10-24,2023-12-05,DOT,2904.7804,41876.67,34899.93,6976.74,Sold 2904.7804 DOT,Sell,Binance
2022-09-29,2024-03-01,BTC,4325.1581,12659.74,12128.23,531.51,Sold 4325.1581 BTC,Sell,Coinbase
2024-07-22,2025-06-09,SOL,4437.0156,8418.63,10687.17,-2268.54,Sold 4437.0156 SOL,Sell,Binance
2023-12-16,2024-05-12,ADA,3688.1031,32499.46,37082.84,-4583.38,Sold 3688.1031 ADA,Sell,Kraken
2020-01-17,2021-01-17,LTC,776.5128,5569.9,6248.28,-678.38,Sold 776.5128 LTC,Sell,Coinbase
2020-07-20,2022-06-05,SOL,3947.0216,47432.42,42545.08,4887.34,Sold 3947.0216 SOL,Sell,Gemini
2023-12-15,2024-09-12,ETH,4929.5344,34451.46,39271.31,-4819.85,Sold 4929.5344 ETH,Sell,Crypto.com
2021-09-16,2021-12-24,SOL,3571.1626,15248.76,18552.17,-3303.41,Sold 3571.1626 SOL,Sell,Kraken
2024-09-13,2025-04-21,ADA,820.14,39659.12,40521.85,-862.73,Sold 820.14 ADA,Sell,Kraken
2022-02-24,2023-07-01,BTC,4524.805,7169.81,3705.89,3463.92,Sold 4524.805 BTC,Sell,Binance
2020-05-20,2020-08-06,ADA,3290.5042,23026.87,25062.94,-2036.07,Sold 3290.5042 ADA,Sell,Kraken
2024-05-20,2024-06-22,ADA,1332.2868,27475.77,27164.84,310.93,Sold 1332.2868 ADA,Sell,Kraken
2021-02-18,2021-02-21,BTC,1877.0457,33586.04,32634.67,951.37,Sold 1877.0457 BTC,Sell,Binance
2023-05-10,2024-12-16,ADA,3173.701,30375.33,28776.61,1598.72,Sold 3173.701 ADA,Sell,Coinbase
2020-01-01,2020-07-25,LTC,2777.8134,-1219.68,1349.57,-2569.25,Sold 2777.8134 LTC,Sell,Binance
2024-07-17,2024-11-22,DOGE,4375.0723,14325.41,10906.6,3418.81,Sold 4375.0723 DOGE,Sell,Binance
2020-04-15,2021-03-31,BTC,4525.8429,23758.23,20296.75,3461.48,Sold 4525.8429 BTC,Sell,Kraken
2022-04-07,2023-05-27,LTC,1709.1535,40097.57,40847.56,-749.99,Sold 1709.1535 LTC,Sell,Binance
2022-04-16,2022-08-19,DOT,604.318,34833.02,27804.62,7028.4,Sold 604.318 DOT,Sell,Coinbase
2024-06-13,2026-05-01,DOT,342.0957,42037.89,46531.8,-4493.91,Sold 342.0957 DOT,Sell,Crypto.com
2024-06-14,2026-05-28,SOL,4261.0958,48137.83,43856.42,4281.41,Sold 4261.0958 SOL,Sell,Crypto.com
2023-07-31,2024-05-30,ADA,2608.0299,28933.29,18995.55,9937.74,Sold 2608.0299 ADA,Sell,Binance
2024-04-09,2025-05-11,MATIC,2439.1417,48397.56,38633.16,9764.4,Sold 2439.1417 MATIC,Sell,Coinbase
2024-09-26,2026-03-22,SOL,4621.7523,50480.68,45103.46,5377.22,Sold 4621.7523 SOL,Sell,Coinbase
2023-03-09,2023-05-21,BTC,861.1442,51904.68,42118.65,9786.03,Sold 861.1442 BTC,Sell,Kraken
2023-09-30,2025-05-15,SOL,747.6712,54494.05,45346.13,9147.92,Sold 747.6712 SOL,Sell,Binance
2022-05-19,2022-05-29,ADA,2373.796,35091.87,36512.64,-1420.77,Sold 2373.796 ADA,Sell,Crypto.com
2021-06-17,2022-10-10,DOT,1385.9429,9879.94,8219.77,1660.17,Sold 1385.9429 DOT,Sell,MetaMask
2021-02-26,2022-01-16,ETH,3938.6434,31095.03,27645.85,3449.18,Sold 3938.6434 ETH,Sell,Crypto.com
2023-11-03,2024-10-08,ETH,4022.3848,34234.0,34723.58,-489.58,Sold 4022.3848 ETH,Sell,Kraken
2021-08-29,2022-07-25,ETH,3095.4475,28458.74,28034.33,424.41,Sold 3095.4475 ETH,Sell,MetaMask
2024-08-10,2025-06-28,MATIC,1594.1255,52403.53,43157.43,9246.1,Sold 1594.1255 MATIC,Sell,MetaMask
2020-06-26,2021-10-10,SOL,1157.8741,9372.37,13051.33,-3678.96,Sold 1157.8741 SOL,Sell,Coinbase
2024-02-17,2026-02-02,ADA,1234.4648,54884.6,48915.88,5968.72,Sold 1234.4648 ADA,Sell,Kraken
2023-11-08,2024-11-19,ETH,4094.6423,15502.28,19718.38,-4216.1,Sold 4094.6423 ETH,Sell,MetaMask
2021-11-27,2021-12-24,ETH,4693.7938,11526.27,5849.21,5677.06,Sold 4693.7938 ETH,Sell,MetaMask
2020-01-20,2020-11-28,DOGE,1431.0741,44691.76,41427.99,3263.77,Sold 1431.0741 DOGE,Sell,MetaMask
2023-03-22,2024-08-26,DOGE,4686.7623,57234.06,49692.8,7541.26,Sold 4686.7623 DOGE,Sell,Coinbase
2021-09-30,2022-12-05,ETH,3449.7005,4210.85,26.16,4184.69,Sold 3449.7005 ETH,Sell,Kraken
2022-09-10,2023-07-12,ADA,4441.8356,47440.49,44161.73,3278.76,Sold 4441.8356 ADA,Sell,Gemini
2024-09-21,2026-03-20,ADA,2205.9284,39531.73,35519.19,4012.54,Sold 2205.9284 ADA,Sell,Crypto.com
2022-08-27,2023-07-02,ETH,3073.8894,3022.04,3331.45,-309.41,Sold 3073.8894 ETH,Sell,Kraken
2020-05-22,2021-01-14,BTC,2132.7695,33902.22,32131.2,1771.02,Sold 2132.7695 BTC,Sell,Coinbase
2024-06-14,2025-05-26,SOL,4749.8419,16835.65,14467.58,2368.07,Sold 4749.8419 SOL,Sell,MetaMask
2020-10-23,2021-07-04,BTC,484.9869,34524.9,29726.89,4798.01,Sold 484.9869 BTC,Sell,MetaMask
2024-08-27,2025-10-19,ADA,494.2225,-1844.74,720.74,-2565.48,Sold 494.2225 ADA,Sell,Gemini
2023-12-23,2024-09-11,SOL,4486.2307,26267.14,19396.29,6870.85,Sold 4486.2307 SOL,Sell,Binance
2021-05-16,2023-05-09,MATIC,2805.937,16653.43,8803.78,7849.65,Sold 2805.937 MATIC,Sell,Crypto.com
2021-06-27,2021-12-09,ADA,4181.9187,26181.32,16789.52,9391.8,Sold 4181.9187 ADA,Sell,Gemini
2022-05-08,2024-02-18,DOGE,4198.315,37417.81,35521.91,1895.9,Sold 4198.315 DOGE,Sell,MetaMask
2022-04-29,2023-11-12,DOT,2631.4995,4944.43,1859.87,3084.56,Sold 2631.4995 DOT,Sell,MetaMask
2020-11-20,2022-07-24,SOL,2397.8401,45503.6,38292.31,7211.29,Sold 2397.8401 SOL,Sell,Gemini
2022-02-19,2022-08-01,ETH,3703.5746,25817.69,29922.8,-4105.11,Sold 3703.5746 ETH,Sell,Binance
2023-10-07,2025-01-09,SOL,4989.1033,13919.07,15422.04,-1502.97,Sold 4989.1033 SOL,Sell,MetaMask
2023-08-22,2024-10-31,ETH,3733.9462,12201.15,12680.29,-479.14,Sold 3733.9462 ETH,Sell,Binance
2021-09-15,2023-07-31,ETH,4943.9366,31249.62,32811.6,-1561.98,Sold 4943.9366 ETH,Sell,Binance
2020-10-19,2022-06-09,MATIC,4147.2209,21085.19,16511.01,4574.18,Sold 4147.2209 MATIC,Sell,Kraken
2020-07-10,2022-04-27,LTC,2842.4035,14690.31,8621.65,6068.66,Sold 2842.4035 LTC,Sell,Binance
2021-06-06,2022-02-06,LTC,1665.2701,49537.52,41063.83,8473.69,Sold 1665.2701 LTC,Sell,Crypto.com
2020-05-09,2021-05-31,DOT,727.5665,37185.89,36046.11,1139.78,Sold 727.5665 DOT,Sell,MetaMask
2021-01-11,2022-03-13,ADA,186.0332,9256.38,7484.78,1771.6,Sold 186.0332 ADA,Sell,Crypto.com
2021-07-27,2023-03-13,LTC,3128.6709,45527.29,41858.67,3668.62,Sold 3128.6709 LTC,Sell,Crypto.com
2021-04-12,2021-11-10,MATIC,4570.3001,45874.17,48615.43,-2741.26,Sold 4570.3001 MATIC,Sell,Binance
2023-08-14,2023-08-29,SOL,4096.0969,11343.74,11347.47,-3.73,Sold 4096.0969 SOL,Sell,Crypto.com
2021-04-18,2021-05-25,ETH,2069.4416,47800.21,45623.03,2177.18,Sold 2069.4416 ETH,Sell,Coinbase
2024-08-02,2025-04-20,DOT,4630.441,29575.37,25510.92,4064.45,Sold 4630.441 DOT,Sell,Coinbase
2020-06-16,2021-06-08,DOGE,3193.5903,25817.31,28929.09,-3111.78,Sold 3193.5903 DOGE,Sell,Crypto.com
2023-09-28,2025-09-22,MATIC,3685.2474,31910.98,22642.08,9268.9,Sold 3685.2474 MATIC,Sell,Coinbase
2021-04-19,2022-08-20,ADA,924.5,15701.38,17923.45,-2222.07,Sold 924.5 ADA,Sell,Crypto.com
2020-03-18,2020-06-29,BTC,3486.8496,56149.17,48433.73,7715.44,Sold 3486.8496 BTC,Sell,MetaMask
2023-09-24,2024-12-13,BTC,864.4246,47319.07,48792.48,-1473.41,Sold 864.4246 BTC,Sell,Binance
2020-11-22,2021-02-21,ADA,4832.6364,8646.24,11506.54,-2860.3,Sold 4832.6364 ADA,Sell,Crypto.com
2022-10-26,2023-08-09,SOL,4765.447,43477.46,42896.0,581.46,Sold 4765.447 SOL,Sell,Kraken
2020-06-10,2021-03-02,LTC,2544.5344,34725.66,25273.79,9451.87,Sold 2544.5344 LTC,Sell,Crypto.com
2024-06-09,2025-02-10,ETH,1559.6466,9636.71,1303.72,8332.99,Sold 1559.6466 ETH,Sell,MetaMask
2021-05-09,2022-06-20,DOGE,1423.4649,27321.41,30001.49,-2680.08,Sold 1423.4649 DOGE,Sell,Binance
2023-11-26,2024-01-05,ADA,883.4334,28207.26,24205.33,4001.93,Sold 883.4334 ADA,Sell,Gemini
2023-09-30,2025-07-13,BTC,4374.2522,15113.09,9214.34,5898.75,Sold 4374.2522 BTC,Sell,Gemini
2022-09-03,2022-12-22,ETH,4659.9524,8090.04,2911.24,5178.8,Sold 4659.9524 ETH,Sell,Kraken
2020-02-20,2020-11-10,BTC,651.4715,51159.18,49416.53,1742.65,Sold 651.4715 BTC,Sell,Gemini
2020-07-03,2021-04-11,DOGE,4982.0866,8614.39,3744.15,4870.24,Sold 4982.0866 DOGE,Sell,Binance
2021-06-17,2023-04-28,SOL,3647.1144,24893.72,20098.9,4794.82,Sold 3647.1144 SOL,Sell,Gemini
2022-05-12,2023-11-07,DOGE,2468.9983,40531.96,35994.72,4537.24,Sold 2468.9983 DOGE,Sell,MetaMask
2021-02-22,2021-04-12,ETH,2361.1872,44566.92,45223.23,-656.31,Sold 2361.1872 ETH,Sell,Kraken
2024-01-28,2024-11-29,DOGE,622.1944,40060.28,34055.01,6005.27,Sold 622.1944 DOGE,Sell,Kraken
2023-11-23,2025-09-28,DOGE,4553.6347,48724.08,40846.01,7878.07,Sold 4553.6347 DOGE,Sell,Gemini
2022-09-19,2023-10-28,SOL,1383.8743,40032.76,34558.46,5474.3,Sold 1383.8743 SOL,Sell,Coinbase
2020-05-04,2020-07-06,ETH,2722.9172,2496.15,7449.32,-4953.17,Sold 2722.9172 ETH,Sell,Coinbase
2024-07-02,2024-12-18,ETH,3081.9818,7240.37,5141.78,2098.59,Sold 3081.9818 ETH,Sell,Kraken
2022-02-23,2023-09-20,DOT,4669.933,32701.81,34961.14,-2259.33,Sold 4669.933 DOT,Sell,MetaMask
2020-10-31,2021-09-28,DOT,4877.9917,-902.51,3246.37,-4148.88,Sold 4877.9917 DOT,Sell,Binance
2022-10-03,2023-05-22,ETH,2393.0466,19246.32,20515.9,-1269.58,Sold 2393.0466 ETH,Sell,Coinbase
2023-05-14,2024-08-13,LTC,3987.9698,9683.52,5570.73,4112.79,Sold 3987.9698 LTC,Sell,Crypto.com
2023-07-01,2024-04-07,DOT,264.9009,30409.1,34638.79,-4229.69,Sold 264.9009 DOT,Sell,Gemini
2023-03-25,2023-10-04,SOL,4300.6769,33130.13,26624.34,6505.79,Sold 4300.6769 SOL,Sell,Coinbase
2023-08-22,2024-11-27,ADA,3638.7583,28224.23,27641.83,582.4,Sold 3638.7583 ADA,Sell,Crypto.com
2021-07-08,2022-09-28,LTC,517.9184,-2392.96,1582.19,-3975.15,Sold 517.9184 LTC,Sell,MetaMask
2022-02-09,2023-09-08,ETH,2355.3002,16360.15,11645.35,4714.8,Sold 2355.3002 ETH,Sell,Crypto.com
2021-10-08,2022-11-08,ETH,3366.5826,45199.04,36728.99,8470.05,Sold 3366.5826 ETH,Sell,Kraken
2023-07-03,2024-12-23,DOT,1943.5168,23864.59,19995.76,3868.83,Sold 1943.5168 DOT,Sell,Gemini
2024-06-04,2025-07-16,DOGE,4930.7945,44685.14,42356.99,2328.15,Sold 4930.7945 DOGE,Sell,Gemini
2024-11-18,2025-06-05,DOT,551.6358,17022.89,12547.24,4475.65,Sold 551.6358 DOT,Sell,Coinbase
2024-06-14,2025-02-22,LTC,3795.5052,37975.03,34520.16,3454.87,Sold 3795.5052 LTC,Sell,MetaMask
2023-10-11,2024-12-19,ADA,4991.2097,50810.38,42052.03,8758.35,Sold 4991.2097 ADA,Sell,Kraken
2020-03-09,2021-02-05,SOL,3323.2141,13365.57,14062.27,-696.7,Sold 3323.2141 SOL,Sell,Gemini
2023-05-03,2023-12-29,MATIC,3338.6257,-1446.52,580.38,-2026.9,Sold 3338.6257 MATIC,Sell,Kraken
2023-09-06,2025-07-09,ADA,2946.4824,29597.55,31846.63,-2249.08,Sold 2946.4824 ADA,Sell,Coinbase
2022-11-10,2024-04-30,DOGE,4043.5332,43753.19,37355.86,6397.33,Sold 4043.5332 DOGE,Sell,Kraken
2021-11-19,2023-05-11,SOL,1993.8838,20392.02,19075.55,1316.47,Sold 1993.8838 SOL,Sell,Gemini
2021-04-11,2021-05-04,DOGE,4118.8653,31176.96,29990.97,1185.99,Sold 4118.8653 DOGE,Sell,Kraken
2024-11-12,2026-09-27,LTC,4252.2786,27477.07,22187.34,5289.73,Sold 4252.2786 LTC,Sell,Coinbase
2024-07-28,2024-11-19,SOL,3433.7874,36427.28,32922.94,3504.34,Sold 3433.7874 SOL,Sell,Crypto.com
2023-05-26,2024-09-16,ADA,4089.6102,43246.46,42338.59,907.87,Sold 4089.6102 ADA,Sell,Kraken
2021-07-08,2023-03-18,ADA,316.9703,46290.94,46746.79,-455.85,Sold 316.9703 ADA,Sell,Coinbase
2024-06-06,2024-10-04,ETH,1723.5286,16012.53,20735.6,-4723.07,Sold 1723.5286 ETH,Sell,Kraken
2022-06-22,2023-05-04,ETH,1913.1423,26662.25,16843.94,9818.31,Sold 1913.1423 ETH,Sell,Binance
2022-07-30,2023-11-05,MATIC,300.8026,26662.31,18826.43,7835.88,Sold 300.8026 MATIC,Sell,MetaMask
2021-06-14,2022-05-01,BTC,1420.3557,25716.66,26274.74,-558.08,Sold 1420.3557 BTC,Sell,Kraken
2020-07-01,2021-07-20,DOT,4565.0957,27616.22,31583.41,-3967.19,Sold 4565.0957 DOT,Sell,Kraken
2023-12-23,2024-01-30,BTC,2415.2065,21183.58,25158.85,-3975.27,Sold 2415.2065 BTC,Sell,MetaMask
2021-11-01,2023-05-14,LTC,3379.1878,23500.45,26593.82,-3093.37,Sold 3379.1878 LTC,Sell,Coinbase
2020-09-10,2022-04-23,ADA,4201.681,6620.39,3504.76,3115.63,Sold 4201.681 ADA,Sell,Binance
2020-04-12,2020-06-23,MATIC,1904.2433,26946.36,27659.29,-712.93,Sold 1904.2433 MATIC,Sell,MetaMask
2024-07-04,2025-04-06,BTC,3819.5938,45239.89,48235.31,-2995.42,Sold 3819.5938 BTC,Sell,Coinbase
2021-07-23,2023-02-25,LTC,3290.539,27526.52,19165.28,8361.24,Sold 3290.539 LTC,Sell,Gemini
2021-04-07,2022-01-07,DOGE,376.6525,50427.07,43500.13,6926.94,Sold 376.6525 DOGE,Sell,Coinbase
2023-11-02,2024-04-27,ADA,3662.7668,15522.02,13183.92,2338.1,Sold 3662.7668 ADA,Sell,Coinbase
2023-07-02,2024-06-21,ADA,1953.7407,44564.24,46172.66,-1608.42,Sold 1953.7407 ADA,Sell,Coinbase
2024-04-19,2026-01-09,BTC,1701.033,24719.61,28985.0,-4265.39,Sold 1701.033 BTC,Sell,Kraken
2023-04-11,2023-12-03,ADA,3751.9335,32817.86,27567.31,5250.55,Sold 3751.9335 ADA,Sell,Kraken
2022-10-19,2024-01-19,BTC,3574.113,10010.33,4930.86,5079.47,Sold 3574.113 BTC,Sell,Gemini
2024-04-07,2024-09-23,LTC,4793.4236,27380.57,26915.83,464.74,Sold 4793.4236 LTC,Sell,MetaMask
2020-03-29,2020-11-25,SOL,62.8169,35324.94,32263.83,3061.11,Sold 62.8169 SOL,Sell,Binance
2021-09-12,2022-08-20,MATIC,3926.6476,47671.06,41353.29,6317.77,Sold 3926.6476 MATIC,Sell,Kraken
2023-03-26,2024-05-29,SOL,699.7567,22999.65,18592.33,4407.32,Sold 699.7567 SOL,Sell,Binance
2022-02-12,2023-01-31,DOT,1127.9897,-207.98,1476.53,-1684.51,Sold 1127.9897 DOT,Sell,MetaMask
2022-02-14,2022-04-03,SOL,1138.3764,43837.74,43862.94,-25.2,Sold 1138.3764 SOL,Sell,MetaMask
2021-03-19,2022-04-19,ETH,2955.7149,31212.22,33331.53,-2119.31,Sold 2955.7149 ETH,Sell,Kraken
2020-04-12,2020-11-12,BTC,2507.9732,36523.15,34983.45,1539.7,Sold 2507.9732 BTC,Sell,Binance
2021-02-23,2022-10-31,LTC,278.3042,7930.41,7351.47,578.94,Sold 278.3042 LTC,Sell,Coinbase
2023-03-12,2024-11-04,LTC,750.0898,945.73,3444.25,-2498.52,Sold 750.0898 LTC,Sell,Gemini
2021-11-14,2023-10-12,BTC,4527.2553,5692.82,5263.38,429.44,Sold 4527.2553 BTC,Sell,Crypto.com
2023-07-16,2023-11-16,ETH,233.9403,24581.41,29286.81,-4705.4,Sold 233.9403 ETH,Sell,MetaMask
2024-03-30,2025-03-05,ETH,997.0141,12129.91,4005.51,8124.4,Sold 997.0141 ETH,Sell,MetaMask
2020-07-12,2021-05-28,DOGE,239.1163,53411.37,44158.46,9252.91,Sold 239.1163 DOGE,Sell,Binance
2020-01-07,2021-04-15,ETH,3692.8988,38885.2,36842.11,2043.09,Sold 3692.8988 ETH,Sell,Kraken
2024-06-12,2025-09-18,MATIC,3905.3993,26900.8,24083.45,2817.35,Sold 3905.3993 MATIC,Sell,Kraken
2023-09-11,2024-07-01,ETH,2101.2438,12079.64,9350.61,2729.03,Sold 2101.2438 ETH,Sell,Coinbase
2020-10-24,2022-08-30,DOGE,4392.8472,39024.1,39679.66,-655.56,Sold 4392.8472 DOGE,Sell,Coinbase
2023-03-21,2023-06-03,DOGE,3739.1656,11221.27,6184.97,5036.3,Sold 3739.1656 DOGE,Sell,Kraken
2021-04-19,2022-08-27,LTC,2881.955,-1906.9,1448.9,-3355.8,Sold 2881.955 LTC,Sell,Gemini
2021-12-05,2023-07-22,MATIC,1754.5575,934.31,662.75,271.56,Sold 1754.5575 MATIC,Sell,Coinbase
2022-10-19,2024-02-05,MATIC,3991.8972,16285.44,14977.37,1308.07,Sold 3991.8972 MATIC,Sell,Coinbase
2023-05-14,2025-05-06,DOT,4600.8942,18607.7,18687.06,-79.36,Sold 4600.8942 DOT,Sell,Gemini
2023-04-14,2023-06-02,SOL,3740.2025,37171.07,38042.41,-871.34,Sold 3740.2025 SOL,Sell,MetaMask
2021-12-15,2023-02-03,LTC,1686.578,48278.9,48405.77,-126.87,Sold 1686.578 LTC,Sell,Crypto.com
2020-04-13,2021-02-08,DOT,3292.4421,21586.54,24662.9,-3076.36,Sold 3292.4421 DOT,Sell,Gemini
2023-05-19,2025-02-08,SOL,3837.1706,-1821.87,1009.35,-2831.22,Sold 3837.1706 SOL,Sell,Kraken
2022-01-02,2023-10-01,SOL,1563.067,42829.01,47417.85,-4588.84,Sold 1563.067 SOL,Sell,Gemini
2023-02-01,2023-10-11,DOT,390.178,37708.89,41549.31,-3840.42,Sold 390.178 DOT,Sell,Coinbase
2020-06-07,2021-12-12,DOT,3916.8699,32002.69,36737.61,-4734.92,Sold 3916.8699 DOT,Sell,Coinbase
2022-01-29,2022-09-13,ETH,2323.1228,12775.14,11222.89,1552.25,Sold 2323.1228 ETH,Sell,Kraken
2022-09-21,2023-08-30,LTC,2482.0802,50413.73,49793.08,620.65,Sold 2482.0802 LTC,Sell,Coinbase
2021-07-13,2021-10-15,SOL,1866.8892,39144.71,37845.5,1299.21,Sold 1866.8892 SOL,Sell,Gemini
2020-10-06,2022-05-03,DOT,1932.4104,22847.86,17682.68,5165.18,Sold 1932.4104 DOT,Sell,Crypto.com
2020-12-22,2021-10-04,DOGE,4573.9934,20355.16,23790.24,-3435.08,Sold 4573.9934 DOGE,Sell,Coinbase
2021-10-16,2021-10-26,BTC,1190.4449,24791.28,23829.53,961.75,Sold 1190.4449 BTC,Sell,Binance
2021-06-08,2022-10-01,LTC,2011.6727,27369.28,31487.81,-4118.53,Sold 2011.6727 LTC,Sell,Crypto.com
2024-09-18,2026-07-20,SOL,463.0386,44610.25,45499.95,-889.7,Sold 463.0386 SOL,Sell,Kraken
2021-06-18,2021-08-13,BTC,2077.07,21653.61,20691.76,961.85,Sold 2077.07 BTC,Sell,Crypto.com
2021-05-14,2023-02-28,LTC,55.7767,36370.06,33629.01,2741.05,Sold 55.7767 LTC,Sell,MetaMask
2022-08-16,2022-11-30,ADA,4485.0747,15065.65,10718.34,4347.31,Sold 4485.0747 ADA,Sell,Kraken
2023-12-30,2025-06-14,DOT,4647.2108,27627.42,22657.41,4970.01,Sold 4647.2108 DOT,Sell,Coinbase
2023-09-25,2024-02-12,ETH,94.1799,32927.86,24937.54,7990.32,Sold 94.1799 ETH,Sell,MetaMask
2024-01-02,2025-03-25,LTC,4535.0267,15593.92,11309.9,4284.02,Sold 4535.0267 LTC,Sell,Crypto.com
2022-08-10,2022-10-10,DOT,865.6742,1568.67,544.93,1023.74,Sold 865.6742 DOT,Sell,Binance
2020-10-26,2021-04-29,ETH,4649.5098,52570.48,42950.0,9620.48,Sold 4649.5098 ETH,Sell,MetaMask
2023-12-06,2024-09-24,MATIC,353.2193,13275.56,10108.01,3167.55,Sold 353.2193 MATIC,Sell,Kraken
2024-08-31,2025-07-08,MATIC,4638.1886,3703.53,418.7,3284.83,Sold 4638.1886 MATIC,Sell,Crypto.com
2021-01-19,2021-02-04,ETH,1169.8225,25243.46,24146.99,1096.47,Sold 1169.8225 ETH,Sell,Binance
2023-08-16,2024-01-10,MATIC,1498.2743,200.5,1735.62,-1535.12,Sold 1498.2743 MATIC,Sell,Gemini
2023-05-03,2025-03-22,DOGE,2076.6582,50180.04,48178.71,2001.33,Sold 2076.6582 DOGE,Sell,Gemini
2023-04-28,2024-02-17,MATIC,1861.3156,45372.26,40839.88,4532.38,Sold 1861.3156 MATIC,Sell,Kraken
2023-03-17,2025-01-14,DOT,2801.6841,53619.56,49209.62,4409.94,Sold 2801.6841 DOT,Sell,Coinbase
2020-03-12,2020-12-05,BTC,1175.2728,5896.94,56.89,5840.05,Sold 1175.2728 BTC,Sell,Kraken
2024-03-08,2025-12-12,ADA,4632.1134,2363.85,2604.15,-240.3,Sold 4632.1134 ADA,Sell,Kraken
2020-05-04,2021-12-05,ETH,1967.3759,9777.88,13252.57,-3474.69,Sold 1967.3759 ETH,Sell,MetaMask
2024-02-04,2025-03-13,DOT,3415.9507,38339.7,40306.43,-1966.73,Sold 3415.9507 DOT,Sell,Coinbase
